image_ID,#labels
blackhole(1).jpg,blackholes
blackhole(2).jpg,blackholes
blackhole(3).jpg,blackholes
blackhole.jpg,blackholes
planets(1).png,planets
planets(2).png,planets
planets(3).png,planets
planets.png,planets
nebulas(1).png,nebulas
nebulas(2).png,nebulas
nebulas(3).png,nebulas
nebulas.png,nebulas
galaxies(1).png,galaxies
galaxies(2).png,galaxies
galaxies(3).png,galaxies
galaxies(4).png,galaxies
galaxies.png,galaxies
stars(1).png,stars
stars(2).png,stars
stars(3).png,stars
stars(4).png,stars
stars.png,stars
meteors-asteroids(1).jpg,meteors-asteroids
meteors-asteroids(2).jpg,meteors-asteroids
meteors-asteroids(3).jpg,meteors-asteroids
meteors-asteroids(4).jpg,meteors-asteroids
meteors-asteroids.jpg,meteors-asteroids
